cid,tid,rate,cnotice,remark,quizmethod
984,923,5,我記得是只有一個上臺報告+期末一張A4心得，老師人超好，上課也很鼓勵同學發言，上課的內容都很有趣!,這門課滿像演講，不用考試，老師常常跟我們分享他去阿拉伯工作的見聞，偶爾也會邀請一些在國外工作的人分享他們的趣事,只有上臺報告+期末A4心得而已
762,944,5,期中期末背多分，且分數很甜，出席會依簽到表為準，老師很可愛！,,期中期末都是申論題，老師會在考試前一兩堂課透露題目！沒有報告。
966,505,5,沒有期中期末考,,看影片討論、上臺報告
975,871,5,沒有考試，期中期末各收一次課堂心得報告，外加課外讀物，每節課會點名，但是座位上有人就好。,,會邀請導演來分享，基本上作業有交出席狀況不差一定有80，但是心得千萬不要複製貼上，老師真的會抓。
1031,953,5,忘了分數怎麼算,,考前畫重點都考重點的openbook申論題
1007,697,4,出席都用簽到的，作業分數佔比較重，但是作業很簡單上網查一查就可以查到答案，作業內容越多分，分數越高,,考試會提前給題目都是申論題。作業則是跟他上課有關的題目，上網都查得到
563,580,5,開書考 要做簡單報告 輕鬆,,開書考 簡單報告
13,388,4,不定期點名，通常考前兩週會點名。,,考試幾乎都從講義內容出，有讀都會過
628,641,4,期中上機考 期末小組報告 助教人很好,,期中上機考(完成線上測驗就有50分) 期末小組報告 助教人很好
707,347,3,,,
1766,762,5,上課風氣自由 鼓勵討論 分數會給很高,,考試少 期中考跟期末報告而已
420,511,5,平時40%,,會有小作業跟簡報，基本上不會太難
996,455,5,期中末各30%，作業出席20%,不難，可以不去上課，最後一節繳交作業兼點名即可。,作業為每週找一篇與毒化物有關新聞，每週繳交即可。
998,932,5,出席很重  期中期末考的很基本  有在聽  絕對穩穩過,人真的很好,期中還有多選  期末改全單選
1021,944,5,期中期末各占50%，每堂必傳點名單，老師會看出席加扣分，上課會請同學印講義，考前一週很傳題目給同學拍，考試都是申論題寫越多分數越高，認真上課可以學到很多國際的事件。,不用什麼基礎，人來就好，老師人很好，都是第二節上課才傳點名單 ，偶爾會直接點名,考試是申論題，期中３題考６０分鐘，期末５題考９０分鐘，寫越多分數越高
1019,945,5,非常寬鬆,給分都很高,沒什麼作業
981,901,5,聽老師講人生大道理，出席率不用太高沒關係，總共4個作業，用點心寫就有80分左右，老師人其實很好，雖然有點老頑固，就是上課不能吃東西滑手機穿夾腳拖。,就聽老師講一些儒道思想，他也會問同學們哪裡有問題還有感想，所以要認真聽喔,作業就發揮各位一點用心以及假掰的能力就可以hold住了
1015,940,5,期中分組報告,壓力不大，上課蠻輕鬆，老師人很好，可以學到東西，分組組員很重要,期中-地圖分析
1027,320,5,期中期末考,有點類似高中的公民，但是更難更深,沒作業
1009,932,5,期中期末各30%，平時成績40%，上課有聽就會了，考前一堂課會複習，真的很簡單,只要認真聽就會了，考前老師的複習一定要聽，回去看一看就90幾了,考試都選擇，有單選和二選，多選不一定
16,950,5,1.出席發表與討論 40%(幾乎每次都會看電影，會規定哪個年級要寫心得),老師會點人回答看了電影有甚麼啟發?然後延伸到做人處世的道理和自己的生涯應該如何規劃,期中考時只考了5題左右，都是申論題，題目會在考前一到兩個星期先說，讓同學回家自己思索
16,950,5,心得記得交，出席率佔分比率偏高，有期中考和期末報告（小組合作）,上課第一節課看電影，第二節課討論電影心得,三題申論題，考前會提前公佈題目
1031,953,5,期中期末+小考1~2次，還有點名吧,考前畫重點+open book,考試從課本出，沒作業
939,939,5,每堂課都會簽名點名。期中期末考前會有各有一次小考，小考考33題，期中期末的50題考題其中的33題跟前一次小考一模一樣，所以分數很好拿，幾乎背一背就好。,老師都會跟著時事一起講，每次上課內容都很豐富，也很實用，就算是沒有化妝品基礎或是化學底子的人來上課，老師都可以講的很清楚，讓你可以很容易理解我們在上什麼,全部多選題，小考一題3分，共33題，答錯一個全錯。期中期末50題，一題2分，答錯一個全錯
1025,949,5,期中期末考、期末報告、平時作業、點名,老師人很好，也很認真準備PPT上課內容，常會分享生活瑣事，會點名請同學回答問題會加分，到後來他會常點一些比較認識的同學。課程是比較麻煩一點，但可以從老師身上學到東西，每次上課上完都會有同學留下來跟老師聊天。,期中期末都問答題，都考些上課講過的，但憑自己的想法寫也會高分，有2、3次心得作業，一開始會分組，期末要分組拍大概2、3分鐘的影片上台報告。期中前每次點名，第二節去也可補點，接近學期末就幾乎沒再點。
16,950,5,只要交報告跟心得就好 讚,老師人很好！，還可以補點名 早到點名再加分,有看影片心得都很簡單
989,927,5,上課抄筆記寫學習單,老師的板書很漂亮，PPT內容也很豐富，老師會講很多關於逢甲的八卦，如果對生物很有興趣的人一定要修，老師說他每次都會很用心的準備上課內容，是個很認真的老師，胖胖的很可愛,作業就是寫學習單
488,92,4,期中期末考、作業,老式上課很無聊，幾乎沒人在聽，台下睡一遍，可是作業有教，考試前讀一下，基本上會過。點名幾乎隨機抽點，很少點全班。,考題是上課的講義會放在ilearn，他會講要她考的題型，選擇大概5題，幾乎都是問答，PPT內容超多根本背不完，突然會有上課作業大概兩次，下課前要教，他會給你範本可以模仿那個寫，其中一次是書信的格式
966,505,4,沒有考試,"基本上組員很重要，以上作業都是分組進行，一組約會有25~30人，""自行分組""，所以不用太擔心，但你分到很雷的你就自求多福啦∼，上課不能穿拖鞋不能吃喝，基本上是可以爽過的課，會點名是寫簽到單",沒有考試
1039,912,4,期中考30% 期末考 40% 平時表現 30%,上課內容頗多元，有看韓國連續劇、電影，聽韓國流行歌，介紹韓國體育飲食政治等等，但是有時候都聽老師在說話有點無聊。，老師剛開學會說上課規矩，但其實上課不太管，傳簽到單，但有時候點名認一下人,期中考期末考都只有1題，自由發揮很簡單，限500字
1021,944,4,每堂課都點名，出席率佔分數蠻多，其餘則是看期中考與期末考成績！（老師於考前會公布考試題目讓同學回去準備）題目皆是申論題,不難，有上課 考前有準備，都可以很容易通過,考試皆為申論題
957,525,4,平時(口頭報告、出席、書面)30%,上課幾乎老師都很認真在講解中國文物的東西，書、畫、紙鎮，有很多奇怪的東西，老師也會帶自己的收藏讓大家欣賞，上課可以睡覺玩手機，不要吵到別人就好，老師看中出席，最好每堂課都到,考前會給一份講義，考題從講義上面出，寫越多越多分
960,302,4,加分的點很奇妙 不加小數點 一次作業,上課很無聊 認真聽學到蠻多 考試都考筆記啊,考8，10個技巧
1008,936,4,上課抄筆記，分數輕鬆拿,基本上絕對輕鬆拿高分過,考試帶自己手寫的筆記，從上課內容出題，一部分填空，一部分簡答
1000,934,4,上課蠻多加分機會的,手機不要拿起來滑就好,考前會勾題目給你回家看
1012,937,4,出席每次必簽到佔很重有時會抽點回答問題,上課就是講醫學相關的知識 然後會穿插老師出去國外旅遊的照片和小故事,期中報告很簡單寫為什麼想選這門課
955,905,3,上課舉手回答會加分,基本上想認真聽課有點難（聽不懂他在說什麼 講話不太清楚）沒關係多半時間放影片,考試都是手寫（一定考課堂看的影片簡介和心得）、作業也是影片簡介心得、1500字遺書
1019,945,3,老師上課講自己的人生史，考試按照老師所講的寫認同老師的看法分數會高,不能吃早餐，要買書,申論題，有二個報告
911,911,3,沒有考試，期中和期末都是交報告，內容是回答老師出的問題，答案從老師給的PPT找，這很重要，他不要自己回答的，一定要照他的PPT寫。還要記得排版。整學期只點4次名，期中前兩次，期中後2次，會算入平常成績。應該算好過，但成績不甜。,老師的規矩就是上課不要聊天，抓到會扣分。,作業是申論，總共出10題
488,918,3,期中考差可以補考，期中考前會給考題和答案，期末考自傳，考試可以直接抄，有一篇閱讀心得，一定要交，每堂必點。,會印很多講義，可是不太需要，老師上課常說自己的事，考試的東西記得抄，考試要到，很好過。,期中考公文，會提前給答案，期末考自傳，網路上找的到內容，作業是一篇閱讀心得。
1037,949,3,心得報告很多，每節幾乎都有，佔分數很多，期初常點名，期末幾乎沒在點，期末有專題報告，其實不難，小組很重要，老師人其實不錯，作業都交應該都能過。,就是講性別相關的事情，老師人蠻和藹可親的。,都是報告，幾乎每節都有心得反思要寫，還有小組專題報告。
15,92,3,其中期末佔的重 然後給分有點嚴格 一次報告 兩次作業,給分的有點嚴格 要拿高分很難 但上課可以耍廢 很涼,考試都神論 考試前都會給 作業兩次回家賞析文章 一次分組報告
972,908,2,平時30%期中30%期末40%,我覺得還是稍微有音樂基礎或是對古典樂有很大熱忱的，比較適合選這門通識,期中期末都是考聽曲子還有一些上課教過的音樂知識，期末交一份個人的音樂報告
119,119,1,期中佔40%,要勤勞抄筆記,全部問答題
1019,945,1,要買老師自己寫的書 然後好多論文煩死人 每節必點,老師脾氣急躁,小組報告 申論題
1032,266,1,期中期末各50%，非本科系相關之學生一定要熟讀課本,對非相關科系的學生難易度大概是中等，老師都幾乎照課本念，大概期中考前兩節課加起來只上一節課，放假都算準準的，點名是形式上的點名而已,考試都是選擇題22題總分110，很多都是課本裡面很細的內容，例如年份啦，表格裡面其中一項啦等等...
955,906,1,給分數的時候都隨便看一下就給很低的分數，如果寫很多(3000字以上那種)，他才會認真看，我覺得學不到東西，分數還很低，很後悔選這門課,建議不要選,都是個人報告
488,921,1,出席10，作業10，期中期末各40,看似很輕鬆但上課真的很無聊老師很喜歡碎碎唸，基本上考前兩個禮拜去聽考試重點就好而且要交作業， 但不推薦給想賺學分的人因為老師有點難搞。,每堂簽到，交一份作業（這學期是讀書心得），期中考講義背一背照抄，期末考open book。
1035,954,1,期中報告+期末考試 考試上課沒聽就完全不會寫 上課舉手有機會加分 老師主觀意識非常嚴重 不食人間煙火,老師常常批評社會批評學生 上課真的專心聽會越聽越火大,期中報告是一篇新聞 老師主觀意識非常嚴重 除非寫到跟他的想法一樣 不然不會高分  期末考試有選擇題考時事 簡答題是上課內容 申論題是上課的講義
1026,950,5,各佔幾趴雖然忘了 但是期中期末都只考三題左右 都是手寫問答 考前一兩個禮拜會公布題目 題目幾乎都是自由發揮 寫自己的想法 沒有特定答案 很好發揮 老師上課活潑,老師會利用影片 再讓我們提出自己的心得想法 不古板的上課方式,會有小組報告 考試為手寫問答題 大概三題
1048,962,5,參與度高常出現有貢獻就輕鬆拿分,交朋友玩團康的課，來放鬆減壓力的,期末公演
982,922,5,沒有期中考，筆記加分用，但好像只加一點點，期中交，期末考印象中佔了40%，不難考，有寫有分，最後一題是上課心得電影心得,當你認真上課聽老師講話時，你會對從古至今的倫理道德一個認知，並相互串連起來，你會被老師給震撼到，或許會改變你一生的想法也說不定,考試有選擇題跟申論題，題目老師都會提示，不難找，容易理解，作業就是看電影的心得而已，其實基本上是沒作業
1026,950,5,考試非常簡單，都是自己的心得，考前都會告訴每一題的題目，上課是看影片，一學期大概寫個兩三次心得!!沒去上課還可以用其他課補課，老師人非常好也非常好過成績又高,老師超級好!!!!!!!選就對了,問答題，全部都是自己的看法與心得
1009,932,5,期中考，閱讀報告，期末考,上課都在滑手機，老師很善良，認真聽可以學到知識和老師會分享在醫院的故事,MC，填空題，簡答題（寫出五個很多看不到油的食物），長答題（肥胖會引起甚麼疾病），都很簡單
1052,850,2,普通分數不太會當人,不難但報告盡量要到,報告一直報告
1019,945,1,上課不知道在上什麼 狂買書 考試考申論（課本內容）有分組報告 基本上有交都會過,上課都在講有關自己的事 覺得自己很厲害 浪費時間的課,全部申論題
955,906,1,出席很重感覺分數都是用老師對學生的感覺來打的也喜歡叫學生來發言,老師很奇怪,上課會發一本莊子叫我們回去要寫心得跟一些自己的想法  而且常常上臺報告
1021,947,5,會發一張出席卡，有去就蓋一格章。期中期末前有總複習跟重點提示。老師有開兩個班，可以換班上課（兩班內容一樣），輕鬆又可以學到東西推推∼,老師會放新聞報導然後解說世界情勢。,名詞解釋*多題
1026,950,5,期中考：25%,上課就是講孩子的教育，老師會播電影，然後大家一起討論。有時候會點人，會不會點到就看運氣囉∼,期中考三題問答，考前會講題目，沒標準答案盡量寫就對了。
1025,949,5,期中考25%,1.老師人很好、上課不無聊，2.可以學到東西、有趣，3.看似活動作業很多但其實不難,1.考試：ilearn有上課PPT，但還是要去上課才比較知道重點在哪裡
965,911,2,作業佔50%,報告評分，沒有一個標準，期中報告全班只有不到10個及格,期中，期末都是繳報告，題目是申論題
1003,137,4,沒有期中期末，上課分組做實驗一定要到，之後還要寫實驗報告,教授各種化學相關東西，上課會看影片跟一些資料,作業是每次課堂上的筆記，打在ilearn上，老師都會設一個期限
1021,944,5,有期中跟期末,上課用的講義要自費，老師會選同學幫大家印。老師上課會加入時事議題配合課程內容，認真上課能學習到很多知識,考試都是申論題，寫的有回答到老師的問題都滿高分的，沒有作業
973,519,5,點名會先提醒 考期末而已,老師人好,幾乎沒作業 有的話就心得而已 有一個小組報告 期末考考上課補充講義跟幾題申論題
966,505,5,一個學期4個報告,好過（90分哦），有時候也可以翹,報告 影片要繳
1025,949,4,做好學生的義務老師都不會為難的,有時會比較難理解但仔細聽過應該就可以明白了，你不知道如何回答問題時老師會引導你，挺不錯的老師,期中考、期末考 、心得、情境模擬
1006,732,3,"有期中考跟期末考,還有期末報告,考試內容幾乎都是上課的東西,其實很好過,老師也不太當人,但是你如果是男生的話分數從60起,女生80起,字漂亮的話更加分,老師上課很喜歡找正妹互動,看你喜不喜歡囉","nctu,但我覺得如果你是一個守交通規則的人,基本上是用不到這一門課的知識","全部都是申論題,畫圖題,大概四到五題,可以先寄給他考試的某幾題,一定會寫滿考卷正反兩面"
998,932,5,期中期末各30%,生活的營養分配，攝取多寡,考試是單選
1042,957,4,沒期中末考,教你如何創新和技巧,沒考試
888,867,4,一個月點名左右，沒有作業，考試只要對老師的申論提出質疑或辯論的感覺，寫越多分數越多，不需有法律底,不需基礎，全理科也沒問題,申論題
169,364,5,1. 平時成績 30%  (小考和課堂參與),老師會有自己製作的講義，老師上課很認真都會把該上的地方上好上玩，如果趕課的話，有問題的話老師會用其他時間來回答學生的問題，如果心情不好還可以找老師聊天談談心，完全就是位天使,期中期末都是是考計算題和選擇題，幾乎都是課本習題和老師講過的題目
13,363,5,成績分配 : 期中考 30% 、期末考 30%、平時成績 40%,老師會用自己的講義上課，會一題題解答，哪一題跟哪一題類似也會馬上跟大家，要大家融會貫通，如果有數學基礎的人，不想上課看老師的講義就可以自學；老師嘴巴比較賤一點，但幾乎都是開玩笑,考試基本上都是計算題；會有一本題庫，只要把題庫上的題目做完也懂，不管小考會考期中考期末考幾乎都會80分以上
1006,732,5,分數基本上只要你上課有在聽，筆記都有抄，沒有九十也有八十，老師上課很幽默風趣，根本不會想翹課，重點是課程內容跟生活習習相關，因為有上過這門課，出車禍的時候才不會被別人佔便宜！！大推！,老師有兩個雙胞胎小孫子，上課很喜歡講他們的故事∼如果這門通識沒搶到，也可以去修運管系上的選修，也是張漢威老師開的課，內容更多（因為一週三堂課）兩門我都有修過，真的超推！！,考試基本上都考車禍鑑定，圖該怎麼畫之類的∼如果上課有在聽，考試一定畫得出來！
267,398,5,期中期末各佔 35%、平時佔 30%,點名很重要，全出席基本就可以過,"考試考選擇題為主,加小量計算題"
4,92,5,有分組作業跟個人的作文，都要交,我上課偶爾會睡覺∼考試什麼的也是亂掰就會過了，真的是大佛,忘記惹
267,242,5,上課認真聽，圖表很重要，老師不會為難你,不需要有基礎，老師上課淺顯易懂,無作業，考試為選擇、名詞解釋、半申論題
367,109,5,看老師怎麼評，每學期都不一樣，不過都是以考試次數分配比重,老師教的超好，但是上課不能滑手機，要抄筆記,多練習題&筆記題目，大概都會及格
192,424,5,上課回答問題加分,老師人很好，上課很有趣不會睡著,沒有作業，考試全選全英
13,263,5,小考60分起跳,老師上課很用心 沒在用課本 上課抄筆記就ok,沒有作業
193,274,5,"出席很重要,每節必點,但是上課可以做自己事老師幾乎不管","這堂課像是管理心理學,其實都是很簡單的常識,不用基礎,只要考前照講義背一背一定好過,講義是老師自己編的，老師是個退休的老阿伯,人很好,不過講話很濃厚腔調容易聽不懂,不過其實看講義也沒差",考題都是前面一半 超簡單填空
4,36,5,分數不會太為難，只要作業有寫，學習單有交分數都蠻高的，蠻看重出席的，上課主動發言有加分~~,上老師的課可以學到滿多東西的，也不會太無聊，聽不懂的話，老師都會換個方法再解釋一變。,作業跟考試大一國文都一樣，所以差不了多少，只是上課學習單比較多。
13,586,5,很會教，傳說中的逢甲好老師，只要你去上課就有分數，上課不可以看手機跟睡覺，只要紮紮實實的上課就能吸收很多！！,不怕你不會！只怕你不要啊！,期中考會自己出題，題目比其他系的微積分來的難一些，但有讀書就會喔！！
557,566,5,期中期末各20%，兩次小考各15%，作業跟出席共30%,這堂課主要在學怎麼有linux打出自己一套的小程式，能學到的東西還蠻多的，老師也很用心備課跟教學,考前有大猜題，以是非題跟問答計算題為主
1093,386,5,點名到 基本就會過,不用基礎 老師會教,上籃
13,363,5,期中期末不及格但不要太慘,老師會問妳問題，所以要有大心臟，問問題一定要回答，不知道就答不知道,沒什麼作業
913,881,5,期中考30%,我認為先上過基礎、進階還有日語語法再來選修比較好，老師上課會分析句子，所以需要懂一點文法,讀兩篇漫畫，老師上課會帶我們看一次，期中期末都是考單字+句子翻譯
539,609,5,上課只要聽得懂,可惜聽不太懂他在講什麼，雖然不會可以問他，但不是重點一樣會過,考試題型全給你
200,286,5,平時作業40%,老師棒棒，自己思考在這門課很重要，會以ㄧ個產品或服務貫串整學期課程,每堂上課有個人或整組的學習單，邊聽課邊完成40分get~
1090,971,5,只要都有去 有期中 就是上課內容 我當堂才學會 80過沒有期末 最後90分,很不像想像中的太極老師很有趣認真想學太極就要私底下再問老師,考上課有打過的
215,322,5,一次作業(題目自訂、可複製貼上)+一次上臺報告(上學期是東協的國家中挑一國來介紹)，報告結束會問大家意見給分，都是85分↑再+報告互評，不點名，評分方式超free，老師人又好又有料，目前是大陸一間知名企業CEO，喜歡把滿滿的資料跟同學分享，超推！！,老師是大陸一間很有規模的企業的CEO，人在一線的他會直接跟我們分享要怎麼賺錢、怎麼彈生意、怎麼面對客戶還有尋找新通路，以跳脫性的思維在教學，很適合未來打算從商的你來修課！！,不考試
4,181,5,期中期末有一定比例,上課方式有趣，淺而易懂，互動多，不無聊而且可以真的吸收到東西,考試就基本選擇和寫作
231,399,5,期中30%期末40%平時30%,雖然老師有時候感覺好像是想講冷笑話，但是都不太好笑，可是人真的很好,選擇33題
4,180,5,國文的評分方式是全校統一，不過平常分數老師真的不會太刁難，會抽籤回答，但回答不出來就換下一個，回答出來就加分，平常作業成績跟期中期末寫作分數也都給的挺高，上課內容跟方式很多元,上課內容及教材多元、老師人很好且分數都給挺高、回答問題都會加分,10題選擇，配合題20分(期中)
