cid,tid,rate,cnotice,remark,quizmethod
917,882,5,要期中期末考，老師很注重出席率，幾乎每節課都會點人起來回答問題，但是老師教學上真的很認真，她還會額外補充一些文化上的知識。,老師人很好，超有耐心，上課又有趣，會有獎徵答加平時分,"期中是考填充題居多，要背熟每個單字，還有看得懂基礎片語與文法，期末比較簡單，考選擇題，但是要了解比較深入的文法觀念，比如說:過去肯定,否定，結尾就會不一樣。"
799,810,5,期中期末各50,"老師是講實務不是無聊的理論, 非常充實完全不會想睡, 大推∼",40題選擇
788,802,5,課堂小組題目.點名加扣分.期中報告.期末報告.股票實際操作,老師的講解深入淺出  非常清楚,期末考帶回家寫
4,37,5,有隨堂考 算入平時成績 作業缺交4次以上危險 缺席很虧,很好過！老師也很用心！,分組報告 隨堂考內容基本上都是發表自己的觀點
222,383,5,課程非常實用，且上課可聽到很多時事新聞，重點是教你投資策略使用方式跟心理學,這堂課主要介紹股票，選擇權以及市場過去歷史，老師是學校財務長，且是學校退撫基金操盤手。,期中考問答題申論題，期末上臺報告
416,134,5,期中期末60%平時成績40%,上課基礎至少要有普通化學的基本知識，然後至少要有豐富想像力，會想像圖形結構,考題，基本上就是上課筆記或是考古題，整體來說根本不會很難上課有認真一定都會寫
1056,520,5,老師偶爾點名，通常是簽到表，只有期末一個分組報告，平常上課就是看老師的PPT或是做DIY，上課內容很有趣,老師上課十分有趣，對這方面的知識非常充足，常常補充一些有趣的事情，DIY也不會因美醜打分數,期末分組報告自選主題，與傳統藝術有關的就行，上課DIY都是做一些彩繪
574,608,5,其實好好考就會過了,老師人很好 不太會管妳 上課非常認真,考一些基本題 ilearn做一做 公式理解好就沒問題惹(>﹏
867,857,5,老師人超好，只要上課大概都有到，作業都有交，成績都不錯，而且對系外學生會鬆一點。有時候上課是去校園走走認識植物，很有趣不無聊。,老師人很好，所以沒什麼壓力,期末考用投影片播放植物圖片，很簡單。
161,339,5,"期中期末各佔30%, 作業與出席佔20， 實習課佔20%， 老師人很好上課回答問題交加分作業等 老師都會記得",會計學一是給新手的會計學，所以不太難，當然老師會很有耐心的解釋問題，並且在考前做重點整理和複習,沒有報考 會計學考試期中考都是計算，期末考會有10題的選擇問題
4,92,5,期中30%,教課很有耐心，老師個性很好相處,考試：
192,424,5,期中期末考、 有期末報告、 上課發言會加分,老師人很有趣，會講很多實例,全英文的題目(上課講義會有，不算太難，有讀有分數) 期末報告
234,322,5,基本上都不點名(有點簽到單),輕鬆高分過,一次上台報告(分組)
66,103,5,期中期末都是報告!!!,盡量多跟老師互動，老師也很有耐心都會回答的很詳細,期中報告是寄給老師，期末報告要上台，皆為個人報告
711,714,5,不太考試但每堂課都要小組討論 老師人超好 課程超好玩,不會很難 而且很好玩,考試申論題  自己設計運輸相關系統
18,630,5,期中末標準投影片都有 偏甜,老師人很好上課一步一步帶很有耐心,計算題居多
789,793,5,超涼 簡單,很涼,考試自帶資料
200,286,5,期中考20%,認真上課會學得很充實，老師人很好 但是會要求 多和老師溝通就容易抓到老師的點,期中考：英文選擇題
1082,975,5,每節必點跟考試,老師人超好上課很輕鬆活潑,考試只有期末是考上課教的動作，會有些要求，可是不會很難
1434,769,5,有內容好過,老師個性超好,考題考前會說的很詳細
10,399,5,期中期末各佔35%、平時成績30%，平時成績看作業、平時考，上課點名採加分制，有到就加分，沒到不扣分。,"這門課就是學經濟學的理論，課本是：Mankiw , Principle of Economics；老師上課很有趣，會提實際例子，而且他還懂生命靈數，最後一堂課有時間他還幫大家算一下，很棒的一位老師。",期中考33題選擇題，期末考50題選擇題(全英文)
707,339,5,老師人超級無敵nice， 上課有分組搶答加分活動， 有問題尋問她時都會很詳細地解說，是個好好老師，只要多練習題目大致上這門課一定pass,同上~ 數學不好的不用太擔心，因為其實根本無關，有背就有分!,考試有10題選擇
476,525,5,考試不會太難兩題，有考古題，有看有分，但是有點忘記佔多少趴了,老師經歷豐富，懂很多，上課常播影片，雖然早八，但是好過,考試兩題，主要都是講義的，有看有分，可以找考古幾乎一樣
707,259,5,考試不會很難，出席不重，一學期大概點個幾次而已，老師教的好，認真聽，輕鬆過。,老師講的淺顯易懂，人又很好！,考試跟課本題目差不多，會出幾題跟夜輔一模一樣的題目；作業助教出，簡單題型，有上課都會寫
345,429,5,老師人超好超可愛,非本系專業的學生來修也不會有負擔。,要拍一部影片，不會很難。
579,616,5,期中期末各30%平時成績40%(包含結報預報，至少要做1/2以上才能過),教各種基本電子電路的實作，看波形等，助教人都很好，可以問很多問題,考試
1006,732,5,有分考試跟作業,上各種車禍肇事鑑定，還有認識路啊~等等，對了，還要老師雙胞胎孫子哦XD,只要上課有拍考試會考的投影片，考試可拿筆記、手機，甚至剪下課本都可以，很好過，不過老師習慣認人，要到上課喔~
588,615,5,小考（4∼6次）30%、期中30%、期末40%,老師上課很清楚，不管是本系或外系都可以修，內容都是由簡入深，不會說很難。,小考都很簡單都是上課講義內容，但是期中期末考的內容就會有變化題或是難題，跟小考難易度落差很大，不要以為小考拿滿分就可以不準備去考期中期末
549,572,5,學期前老師會公佈評分方式，最後調分時會整體一起加，然後50~59的最後總成績為60分。,基本上都是課本內容的講解，要先修過邏輯設計才會比較懂整個課程。，老師個性的話我認為是滿好的，點名次數也很少。，有時候上課時會跟同學聊聊天什麼的。,小考的話會依照教到的進度決定，基本上都是講課內容的變化題。
267,793,5,期中30 %期末40 %?小考和報告各佔15%，期中和期末考試的分數都會超過100分唷！老師說他是客人，客隨主便！人超級好的，教的又棒，簡直就像是天使一樣,老師上課會提示考題，基本上總分130的話考120不是什麼大問題，超過100的部分加到平常成績去,期中考期末考小考都是選擇題，期中期末有些從小考出，大部分都課本後面選擇題，報告是寫看新聞的心得，只要1張A4紙別超過
1089,118,5,期中期末各會有考試，老師都會先教，而且都有補考的機會 再來就是點名的部份，老師很注重出席和穿著，然後老師教的很仔細，可以學到很多,這堂課不管你之前有沒有基礎都可以來，老師會從基本開始教，循序漸進引導，而且很有耐心，老師他還曾經打過類似海碩盃的比賽，是個國手哦,會考類似正手、反手拍、對牆打等類型
1080,445,5,1.繩結與確保30%，2.雙繩垂降10%，3.橫渡技巧20%，4.上方確保攀登20%，5.平時成績20%,1.很值得挑戰，2.老師人很好，3.課程很充實,考試內容上課都會教和練習，不太可以缺課，一缺課就跟不上了
901,872,5,沒有期中考期末考，但期中期末都要上台報告，是十個人為一個小組，所以分到的工作蠻輕鬆的,要點名的前一個禮拜老師會說，老師人很好的不要欺負他,無作業無考題
173,242,5,總共考三次試，考試成績很重要，修這堂課的同學真的要認真上課，但學到的東西蠻多的，老師也會分享很多有趣的事，用不用的到看個人囉！,上課要認真聽講!,有選擇跟畫圖與計算題
78,140,4,平時跟作業40% 其中期末各30%,老師上課講得很清楚，自己做的講義滿棒的，可惜老師的字有點醜有時候會看不懂 每堂必點名,考試出中文題 題目基本上都從講義出非常簡單
636,662,4,你多認真就有多少回報,老師講的很詳細，最好認知上課,考題 去找考古題
707,212,4,頗鬆的,只要不是成績太爛…老師都很給你過,考試就是寫會計的表
202,792,4,期中期末有一個進步幅度就會過,記得去東裕買萬年筆記 筆記上寫必考一定會出，老師上課就像機關槍噠噠噠，不建議外系同學來選,考試總分140左右 不管怎樣一定要寫好寫滿會給一點同情分
173,242,4,課堂小考20% 期中期末各35% 出席10%,"老師上課很認真,會分享自己的事情,特別會一直提到陸生(!?)不過課程內容蠻難的,要認真讀書才可以過","每次考題不一定一樣,大概都是選擇15題,有時候有畫圖題還有簡答題,畫圖一定要寫的很詳細,寫的詳細度會影響該題拿到的分數"
702,330,4,期中期末考試各20%,"課程比較偏管理方面,跟架船造船的沒關係,所以主要還是在教關於船商事業的部分,老師人很好很溫和,可以跟他ㄠ考試出簡單一點","期中考題是從課本出約6題申論,包括一題是非題形式的申論"
559,567,4,期中期末各30%，小考20%，作業跟平時成績20%,上課算很細心，很關心學生的學習狀況，能學到的東西不少，期末會有一個專題，但不會太複雜，只要肯學習，期末總成績一定都不會太差,全部都是問答題以及計算題，題目很多，通常都寫不太完，不過考卷滿分都會破百
423,498,4,出席率、期中辯論、期末討論，沒有考試,老師人非常好，會講很多有關業界的事情跟他的人生歷練，跟你建立很多價值觀以及投資理財的概念，很會跟學生聊天且不限上下課,不算考試，期中考用分組辯論的方式打成績，好玩不嚴肅；期末是整學期以來有吸收到的上課重點分組上黑板寫，派代表說其內容即可
338,432,4,期中考超簡單 期末報告也很輕鬆又學得到東西,不用基礎 外系選修也很歡迎喔,期中考申論題 通常會預先告訴你 讓你可以準備
202,792,4,期中30期末40小考作業分數也會影響哦 考試還有教的有點難 但是認真上課可以學到很多東西哦,了解一些關於股市.債卷...的風險 利弊。老師知識深厚 可以好好詢問 他會為你解答所有疑惑,通常都考7頁以上 考試時間2.5∼3小時 總分數都超過100 不過題目都偏難
267,818,4,每堂課都會有作業、會點名（有時候課間還會再點一次）期中期末考都會提早考、會有考前提示（很重要都會考）,課本可買可不買（但是功課題目在課本裡 不買的要去借書找題目）、只看老師ppt也行,會有電腦作業
338,432,4,有期中跟期末報告∼還有出席成績 老師人很好,上課內容聽聽就好，很輕鬆，老師人很好,考試手寫可是都會有考前提示，要創粉絲專頁然後經營跟報告
926,571,4,忘記各佔幾趴 但有期中考 很簡單 只要上課有跟著老師的腳步一定沒問題 老師要求的作業也不多 只要按時繳交 分數都不是問題,老師很有耐心 無論有任何問題她都會認真回答 也會顧慮到每個人的程度,考試題目很少 方向很大 不需要事前準備 只要上課有聽就會
10,403,4,上課要專心，千萬不能滑手機還有睡覺，作業一定要交，不然必當無疑,上課一定要專心，不然會聽不懂，雖然有時候很兇，但是教的很好，很認真,全部都是選擇題，而且是原文命題
378,895,4,期中+期末考大概佔90,不用基礎，老師自己還翹過課,幾乎都是問答題，跟上課ppt或給的題目有87%像
544,568,4,期中期末各35%，平時30%,上作業系統基本概論，五大排程演算法，及各種不同演算法,考試全申論跟計算題，只要有考古題一律輕鬆高分
654,669,4,分數給的不錯,難易度：易，考古題要會 就輕鬆拿分,考試幾乎都考古題上的
544,570,4,上機作業佔很重、期中、期末、出席率、上課回答問題加分,講得很細、認真可以學到很多、但是講課速度也很慢，最後一堂會趕課,期中期末都有考古、期末考古全中機率高、每周有上機實習、期中通常大家會考不好，太爛老師會給機會補考當加分
267,398,4,不喜歡學生睡覺，喜歡人多,學店生都能過,考試考筆記，不需要助教
1022,412,4,報告佔最重其次出席,可以學更多有關兩性的溝通,沒有考試
15,81,4,作業幾乎每堂課都有，但不會太難。,對文學有興趣，樂於跟老師交流的話都可以選~~,作業幾乎都是上傳ilearn，只有一些要紙本。
302,398,4,期中期末各佔30%，平時成績４０%，算是一分耕耘一分收穫的課，上課有黑板筆記，考試大概只考筆記,無,不一定
704,719,4,期中30% 期末報告40% 出席10% 平時分數10% 發問分數10% 發問分數很重要,老師人很好 有發問 題型都是考古 一些是上課教過的,20題選擇 中英文
78,641,4,考前有考古 讀熟就過,教的普普 但好過,沒作業 平常考要到
477,80,4,沒有作業沒有報告沒有小考，期中考期末考而已，幾次的簽到但是老師不重點名,老師人滿好的，不過上課無聊不過基本上不重視點名、考試又都會事先給考題真的超佛ㄚ！,老師會公布考題在ilearn上面，也會放ppt講義，考試題目的答案都可以從ppt講義找到
327,257,4,期中期末(一定要寫通關密語哦) 報告(超重要),老師人很好，但要有喜歡的人修才不會那麼痛苦，因為報告很重要,上課用書裡 、 報告(要創新、 要創新注重氣氛、 形式)
81,384,4,期中期末各30%作業平時30%出席10%,期中前高中的程度期中後一定要好好聽老師說噢!實習筆記要抄好抄滿!!,都是選擇題
102,156,4,出 席  : 20%,老師人很好，講得很清楚，每節課都會簽到點名，但他會挑最多人簽到的點名單上繳學校,1.期中考都是問答題，都考老師PPT內容，期中作業的內容佔考題50%
369,149,4,開學第一次上課會和學生討論,老師喜歡隨堂考也就是提早考試，不會排座位先到就先選，然後老師上課喜歡給坐前排的同學取綽號，被老師記起來的會加印象分數，而且老師的口頭禪很多,一半填充一半計算
163,369,4,沒有作業，考試只有期中期末,老師講的很詳細，聽不懂就算了XDD,考試前一週洩題，選擇題50題
25,586,4,出席12%小考(4次)28%期中30%期末30%先說老師很硬，絕不調分，但保證收穫很多，想學好工數的人推推,老師講解很快，推上課認真聽，網路有影片，下課或考前可以讀，筆記建議抄影片比較好跟的上,沒作業
540,623,3,沒考試，沒評分方式(☉＿☉),唱you raise me up，請很多教授介紹電機系在幹嘛，各種廢話,每次上課寫心得就有分數，心得掰多白痴都可以
707,244,3,老師教的有點爛，但期中期末考都考課本習題，每個禮拜都有小考，好過,老師人很好，像媽媽，但學不到什麼，自學比較快,都是課本的，考卷一面選擇，三面計算，選擇要寫算式
81,340,3,期中佔70%平時佔30,不會教,Mc題
194,275,3,平時成績30%,1.外系選修可，2.上課不可以睡覺，3.中規中矩、無聊，4.每堂課必點，5.老師說話速度慢,考前上課會勾題(需課本)，勾十題考五題，寫越多越詳細分數越高，背多分
1302,757,3,期中期末分組報告,1.商學院可做外系選修，2.上課傳簽到單，3.認真學多少可學到東西，4.作業報告都有做分數85以上,分組報告某一個休閒事業
707,244,3,上課上的很爛，每堂課必點名，平時分數只要到就會高，段考題目跟課本一模一樣，只要背答案就可以了,這個老師教的不好，所以助教上的會計學實習課，一定要到，不然就真的什麼都沒學到，只是浪費時間,沒有作業沒有報告，選擇題跟計算題都是課本題
603,623,3,平時20%、小考/作業20%、期中考30%、期末考30%,上課算是輕鬆，但是必須回家練習作業，老師的想法也是希望大家可以自己練習過，考試不會刁鑽都是基本題，期中考後會發期中檢討記錄表，目的是希望學生可以檢視考差的原因，或分享如何考高分的，老師算是一個重視學生學習吸收程度的老師，但是可能講課不是特別清楚。,期中期末考可以帶重點筆記，必須手寫在一張A4紙正反面，內容不拘看自己覺得什麼是重點，考試重點在於會應用，刁鑽公式不用背看重點筆記就好。
202,803,2,老師感覺蠻重期中期末和報告,個人不太推,考全英文
78,1042,2,小考兩次30%各佔15%，期中期末各佔30%，出席率佔10%,上課不停抄筆記，你想聽也聽不懂，建議買課本自己唸,考試只會考4或5題，後面的題目會比前面的簡單，沒有作業
18,568,2,期中30%期末30%平時40%,最好先把整本C看過三遍,看老師高興
202,411,1,其中期末會先給出題範圍，但是大家考出來一樣差,教導有關財務管理方面，例如:利率 年金 報酬率計算之類的,考試會有五題名詞解釋和四大題的計算題
539,1101,1,分數不錯,老師很令人無言,上課小考
18,137,1,不了解，基本看上課作業交的程度,雖然學長姐都說老師大佛，不過我覺得他根本不適合上這個科目，聽說他不是主修這個，不過既然要上，應該上自己能教的，就連自己都不懂那套程式語言，還硬要教，沒頭沒尾的，雖然好過，不過學不到東西,他說會考的絕對不會考
200,286,1,期中20%期末40%平時、作業40%,個性捉摸不定 不推,英文
433,511,1,考的不好沒關係，記得高於平均就好,呃…努力點吧。有時候努力也不見得懂 哈,作業要記得交，平時分數也可以掌握你會不會被當
78,1042,1,考試很難,個性機車，考試分數不好要（根本要不到），會管秩序 教室外也管,沒作業 沒報告
1434,367,1,完全沒有評分方式 應該是看心情去評分的,老師就是怪！沒在上課本的東西！導致段考都不會,作業叫我們自己出題目自己寫詳解重點是都沒上過的課程就叫我們自己寫詳解....
1434,781,1,期中期末各佔30%，平常成績與出席率40%，考試愛考題組,教授像補教業老師，講話速度快，笑裡藏刀型,考試為題組，沒作業
190,268,1,隨便考隨便過，老師不當人，但就是很廢,睡覺休息看書的好時間,選擇題和問答題，問答題還可以自己先準備題目背起來
1434,239,1,老師心情決定一切,老師會罵人,考試是學校統一喔
539,1101,1,出席會占5%，所以習慣蹺課的同學要考慮一下，還有選課秘笈上寫好過是沒有錯，但是如果是想學到線性代數精髓（有辦法應用這個學科的知識）的話並不推薦，因為老師上課都在講題目和她會考什麼，還有，她時間表蠻滿的，不容易問到問題。,上的東西都蠻基礎的，聽不懂自己看考試也絕對沒問題，除非你只在考前才念書,老師習慣在課堂上小考，要考的前一堂會先提醒，除非太少人來上課臨時決定加考小考。期中期末的話她都會在平常上課洩題，考前會大洩題，老話一句，想學好東西真的不建議找她
707,244,1,評分紮實,老師教的實在是…不予置評，多去上夜輔比較實際啦,期中都是手寫題，期末10題選擇占40分，其他都是手寫，其實觀念都有搞懂就能考好，考題偏易
567,582,1,期中期末50%，平時50%（包括3次小考）,老師教的很沒有系統，學不到任何東西，講話很小聲，非常重點名，考試就算高分，但是點名有缺席紀錄，分數就給很低,全選擇題
1085,262,5,期中考占百分之30分,老師人無敵好；第一節課的前20~30分鐘是在講解與球的規則、如何發球、如何殺球、如何接殺球、如果打單打、如何打雙打，很多很多，後面的時間就是暖身各自練習打球，可以雙打也可以單打，還會提前15分鐘下課,考試其實就是去玩的，因為考試就是打球，兩個人一組，女雙的跟女雙的打，男雙的或混雙的一起打，比賽分數其實只是成績評分的參考，真正的評分是看學生有沒有認真打球，不要常常遲到或坐在角落聊天，分數基本上不會低於90分
1110,149,5,平時20%小考20%期中期末各30%,筆記認真抄，考試會考,沒作業，考試筆記多看簡單
1392,412,5,期末報告有交、自評不要謙虛就會高分,交期末報告就會過，有同學從沒去過86過,期末報告自訂 出席不重
283,822,5,課堂表現和小考各20%，期中和期末考各30%,如果有不懂的題目，可以跟老師請益，老師會教到你懂為止。而且不止機率論的問題，如果有數量方法相關的疑問，或是想了解財務工程在作什麼，可以跟老師聊。,當時全班決議考選擇題，於是老師出選擇題了
421,185,5,期中、期末、實驗報告、出席。分數給的不錯，作業要交。,上的內容是平常接觸不到的，但有認真聽會很簡單∼老師人很好，講的也很明瞭。,期中期末會給題庫∼上課有幾堂實驗課，要交實驗報告。作業有教、題庫有看，相信不會有人被當。
78,665,5,隨便過,不會寫都能過,隨便寫
364,572,5,老師最後把50-60分的學生全部變60，老師好,不需基礎，但如果能先預習就很棒了,認真上課聽講，遇到困難尋求幫助，保證期末pass
836,617,5,期中期末各25%兩次小考各25%額外加分考20%共120分,老師人佛不說，上課超認真，而且有時會教自己的算法，讓人更快懂，很棒的一位老師,沒作業
539,550,5,筆記佔40%,線性代數，有點難但老師教的很好,上課筆記算分
1157,155,4,作業最最最重要，有期中考、期末考但其實比重不大，出席可以加分，幫老師訂書也加分。,老師很喜歡找人聊天哈哈，上課雖然沒人聽，但其實他講了很多不錯的時事，如果以後要走那些產業，可以了解了解。,個人作業
1599,554,4,三次上機考各佔60%，期末考佔40%,上課都在教觀念，基本上是滿佛的，上機考很重要，拿高分很簡單,期末考全申論
508,542,4,期中期末,這堂課滿輕鬆的，老師上課進度滿緩慢的，因為他很喜歡聊一些五四三,考試都是考老師上過文章中的單字和翻譯，如果有背其實不會太難的
1806,209,4,有交作業跟出席就會過了,聽老師廢話,個人作業一學期三次
1910,3,3,重要是用老師自己印的講義,建議有心要修華語學程的再來，老師上課會問問題,老師會給一張清單
225,403,1,考試考很難,"不是必修課,絕對不會有人選的課",考試全是長問題
