cid,cname,id,quizmethod,rate,remark,tid,tname
1200,資料庫設計,197,老師會提供考古題，大部分都從考古題內出題,5,老師人很好，上課認真,567,林明言
559,資料庫系統,198,"專題： 25 %
期中考： 25 %
期末考： 30 %
平時(學習單、小考)： 20 %
沒考小考、沒交專題、沒考試：80%當
考試幾乎都從考古題出，有看考古題高分過",5,真的能學到關於資料庫使用到知識，不過老師的聲音有點讓人想睡,567,林明言
564,網路程式設計,199,"每堂實習都有練習 會回家做 且又派每個禮拜的作業
都是要花很多時間的 期中考隨機的",2,很累 沒時間睡覺 沒時間做其他事,569,陳烈武
564,網路程式設計,200,課程想教的東西有點太多,4,整體還不錯,569,陳烈武
564,網路程式設計,201,"期中筆試
期末報告並做出client sever app",3,"每兩個星期一次上機考，每次上課都要交課堂跟回家作業，如果班上太多人沒做出來，就會重出題目重新交作業。
一開始蠻簡單的，但後面教的很混亂，而且短時間要求做出app，很累",569,陳烈武
561,社群網路APP開發與應用,202,"作業 40% (10*4%)
上機考15%
階段小專題 15%
期末專題 30% (專題Demo)",5,上課要注意聽老師教的東西很多很詳細，能學到很多東西，沒認真上課作業可能做不出來，主要用python寫chatbot、爬蟲,559,劉明機
364,邏輯設計,203,綁邏輯設計實習，期中期末，實習有上機考，實習完成每個禮拜的實驗。,5,老師上課認真，只要不翹課、感覺有在讀書，都會過，老師期末會大調分，實習課實驗蠻有趣的，也不會太困難。,572,陳德生
561,社群網路APP開發與應用,204,"作業做上課做過的內容，認真上課基本上都不難，一個段落就有一項小作業
考試考上機考py，很簡單
期末有專題，運用上課用到的東西製作",5,老師上課很認真，認真可以學到很多東西,559,劉明機
559,資料庫系統,205,考試有考古題 作業不難,5,老師很認真 多看考古題不難過,567,林明言
544,作業系統(一),206,沒作業 考試都考簡報的 名詞解釋多,1,"考完不發考卷不講成績  上課一直咳嗽
考前一個禮拜才公佈要考試  常對學生感到失望",568,黃志銘
560,數位影像處理,207,"作業不難 考試會幫整理重點
期末專題佔大部分分數
考卷改很久",4,上課認真 不會管你上課在幹嘛,1103,陳華總
566,安全程式設計,208,"就上課教的回家當作業
考ctf解題以及隨機考資訊安全的",4,助教教的資安有點散 都一部分,1100,王銘宏
557,編譯器,209,考試幾乎都從課本範例、上課教的出，有是非題、簡答題,5,老師有自己編的教材統一印給大家，教的很詳細易懂，老師很認真,566,陳青文
439,程式語言,210,沒有作業，考試方式都突然決定，期中是從課本後面習題出,3,有點聽不懂老師在講什麼上課有點不知所云,750,林峰正
439,程式語言,211,"沒有作業
考試方式不固定，臨時決定，期中考課本後面習題，期末open book",2,上課有點無聊，照著書唸，但考試好考,750,林峰正
559,資料庫系統,212,期中期末考  分小組作業,4,老師上課很認真 人很好 推推,567,林明言
544,作業系統(一),213,沒有作業，考試從考古題出(如果拿的到考古可以考滿高分)，沒有小考，出席佔20分佔很重,4,老師上課講的不快，考試前一個禮拜才突然說,568,黃志銘
989,生命科學,214,"上課老師會發課程學習單
會有特別活動 做實驗 看電影 種玉米
",4,"有興趣的話 會上的很開心
不然可能會睡著",927,葉怡巖
544,作業系統(一),215,沒有作業，考試跟考古題差不多,3,老師上課有點無聊，會點名,568,黃志銘
969,台灣民間信仰,216,"會有一個期中報告 跟期末筆試
上課內容 要自己影印講義",3,"有點無聊 大部份學生都在做自己的事情
期末筆試比較多申論題 
考前要稍微看一下",914,王志宇
543,離散數學,217,期中期末,5,我期中0分還是過了,565,游景盛
222,證券投資學,218,"作業：一張證券表格學會看股票網站就會寫了，期末有小組書面報告
考試：考前會說部分題目，open book",4,老師上課會說哪些股票好，重出席下課前點名，但考試分數沒有很高,297,江瑞德
557,編譯器,219,"作業：2個，lex和yacc寫scanner和文法，要找助教demo
考試：期中期末和2個小考，期中期末前會說大概出什麼，都和考古題類似，小考考過的期中期末不會重複考",5,老師上課很認真，有認真上課考試看個考古題很輕鬆,566,陳青文
561,社群網路APP開發與應用,220,上機考python、作業筆記本連結、期末專題。,4,從頭開始學python一開始會有點吃力。下載他的筆記本直接用比較快。人很好。,559,劉明機
559,資料庫系統,221,"考試為上課內容
會小考
期中考
沒有期末考但是要做專題",5,教學認真,552,許懷中
1609,計算機概論(二),222,作業打程式 考試寫程式,4,還蠻實用的考試方式,559,劉明機
572,計算機概論(一),223,,4,開學後教太慢導致期中考後教太多,554,王益文
556,密碼學,224,,4,"老師關心學生學習進度，課程教學清晰，內容紮實成效良好，但教的點快
",578,李榮三
559,資料庫系統,225,,4,老師教學用心、教課內容詳細且具體、教學寫程式,567,林明言
563,使用者經驗設計,226,,3,,580,林國貴
555,通訊與網路概論,227,,3,,557,洪維志
566,安全程式設計,228,,4,實作和理論內容都充足,557,洪維志
551,物件導向設計,229,,5,"老師講解十分清楚，會配合同學們而調整上課步調，節奏適中，認真解答同學的問題
",574,張貴忠
551,物件導向設計,230,"作業:上課後的一些練習，不難
考試:筆試、上機考分4次，有上課有認真聽，不難",5,老師認真上課，可以學到很多,574,張貴忠
559,資料庫系統,231,,5,老師教得好，上課不會悶，是一個想教會學生而教學的老師，能為同學設想調整上課內容,552,許懷中
553,軟體工程導論,232,,4,,552,許懷中
1599,微處理機系統,233,,4,教學認真，上課互動多，講課有點雜，雖然內容豐富，但難抓重點。,554,王益文
542,資料結構,234,,5,教得很仔細也很風趣、老師上課有條理清晰易懂、親近學生,566,陳青文
557,編譯器,235,,4,老師的課程內容非常豐富、教學認真，上課內容深入淺出，作業題目難度適中，考試後的詳解分析地很好,566,陳青文
556,密碼學,236,,5,"一題講題搭配一題練習，逐步練習很有成效，教學認真，教得好又不容易睡，有耐心又帥，講解清楚易懂。
",578,李榮三
547,電子學,237,,4,,556,陳啟鏘
539,線性代數,238,,3,,572,陳德生
549,數位系統設計,239,,3,,572,陳德生
1594,系統程式,240,期末分組寫一個SIC或XE的assember，考試都從考古題出(老師會整理放上網路),5,上課內容豐富，教得很仔細，給的資料很多、有充分參考資料，真的可以學習到程式碼-&gt;組合語言-&gt;機器語言的過程,567,林明言
554,Web程式設計,241,,4,上的很廣泛，但都有點淺，有點無聊,564,陳錫民
1601,UNIX應用與實務,242,期末會調分,4,"老師說明、上課條理清楚，課堂活潑會與學生互動
",580,林國貴
551,物件導向設計,243,,4,,564,陳錫民
543,離散數學,244,,3,老師上課內容不清楚、輕鬆讓學生有更好的發展,565,游景盛
283,機率論,245,,4,上課步調佳，且時常舉例範例說明，條理清楚，教學可以理解,557,洪維志
584,計算機結構學,246,,5,講題詳細、講解清楚，速度也剛好，老師教學認真,574,張貴忠
544,作業系統(一),247,,4,,568,黃志銘
584,計算機結構學,248,,4,教學詳細認真，會停下來詢問同學是否聽懂,566,陳青文
572,計算機概論(一),249,,4,,568,黃志銘
539,線性代數,250,,4,,1101,黃秀芬
1595,計算機演算法,251,,5,上課認真，有條理，老師很不錯！考試也不刁難，讚！,566,陳青文
543,離散數學,252,,4,,833,黃秋煌
364,邏輯設計,253,,4,因為老師有問必答，不會的都可以再解釋明白,556,陳啟鏘
562,物件導向軟體工程,254,,4,,581,薛念林
364,邏輯設計,255,,5,教學認真、仁慈佛心，慢慢教，不會太快,572,陳德生
539,線性代數,256,,4,,554,王益文
556,密碼學,257,,4,老師上課有點快,578,李榮三
1599,微處理機系統,258,,4,"上課內容豐富，口條清楚，用心的好老師，提供很多資源
",572,陳德生
1602,行動應用程式開發,259,老師很認真，可是進度很快，教材豐富,4,,564,陳錫民
537,計算機概論與實習(I),260,,3,,561,林佩君
1609,計算機概論(二),261,,4,應用很多、講解詳細，考試難,568,黃志銘
539,線性代數,262,,3,老師著ppt念,561,林佩君
559,資料庫系統,263,,4,,567,林明言
563,使用者經驗設計,264,,3,老師改考卷時的評分標準不清楚,580,林國貴
555,通訊與網路概論,265,,4,"老師都會願意一步一步慢慢說，教學超讚、詳細清楚，上課不能吃早餐
",579,劉宗杰
566,安全程式設計,266,,4,,557,洪維志
1607,軟體品質保證與軟體測試,267,,4,"上課有趣、講話有條理，學習與實踐雙管齊下
",581,薛念林
560,數位影像處理,268,,4,,574,張貴忠
551,物件導向設計,269,,4,,574,張貴忠
553,軟體工程導論,270,,4,,552,許懷中
557,編譯器,271,,4,,566,陳青文
544,作業系統(一),272,,4,,566,陳青文
571,資訊與網路安全,273,,4,,569,陳烈武
547,電子學,274,,4,,556,陳啟鏘
539,線性代數,275,,3,步調有點快,556,陳啟鏘
549,數位系統設計,276,,4,,572,陳德生
554,Web程式設計,277,,4,,564,陳錫民
551,物件導向設計,278,,4,,564,陳錫民
543,離散數學,279,,4,,565,游景盛
543,離散數學,280,,4,,565,游景盛
542,資料結構,281,作業難度偏難,4,,568,黃志銘
1105,計算機概論與實習(III),282,,4,,568,黃志銘
555,通訊與網路概論,283,,4,,579,劉宗杰
564,網路程式設計,284,,4,建議在修這門課前要有java基礎,579,劉宗杰
561,社群網路APP開發與應用,285,,3,,559,劉明機
935,電子商務安全,286,,5,,891,魏國瑞
568,寬頻網路,287,,4,,551,竇其仁
801,財產保險(一),288,做服務學習會加分，考試選擇題會給題庫從裡面考，簡答題從課本出題，有看書的話可以拿到不錯的分數,5,適合外系選修，教火災險、強制汽車險等等以及保險基本觀念，能獲得相關知識很不錯，老師上課講話有點快，講解會帶實例較好理解,812,張吉宏
562,物件導向軟體工程,289,期中期末考(選擇+簡答)，作業是寫程式，期末有專題(有點難),4,考試有點難，期末專題自由發揮套用上課教的知識，有自己的教材就算上課聽不懂也能自己回去看,581,薛念林
582,半導體物理,290,沒有作業，期中考與平時小考,5,讚,604,梁寶芝
88,專業外語,291,期中:工作模擬面試，期末:團體報告(每個人都要報告)，作業交履歷等等，基本上都在上課時間完成,5,老師的英文講得不會太快，有時候會用中文再講一次，有問題問老師也很熱心回答，讓人不會害怕英文課,571,施惠家
412,材料熱力學,292,原文試題,5,教學仔細、認真,488,陳錦毅
488,應用文,293,期中考一篇公文，期末寫自傳。,1,上課不知所云，常把個人情緒帶到課堂上，黑板的字體僅前兩排看的清楚。,918,吳秀英
192,行銷管理,294,期中筆試可看書，期末報告,5,上課有趣，以大量的廣告、實際的例子，能讓我們清楚學到行銷的手法！,424,李元恕
786,財務資訊系統,295,上機考還有團體報告,2,上課不知所云，不過會看學生狀況，輔助同學，提供補考機會。,799,江耕南
18,計算機概論,296,期中期末、上機考,2,一直提外話 教課速度慢內容少,441,楊建成
542,資料結構,297,"期中期末、專題
兩個小組作業",5,準備充分，解釋清楚,446,林英志
283,機率論,298,"期中期末、每個禮拜小考
程式作業2個",4,教學較枯燥但講解詳細有條理,366,吳純純
1185,數值分析,299,"期中期末、兩次小考
每個禮拜小組作業",4,很關心學生的學習情況,10,許佳璵
234,大陸與東協市場開發與通路管理,300,有去就會過,5,"好老師
",322,伍昱睿
206,金融市場,301,"有期中期末還有期末報告
不難過",4,上課內容豐富,315,江怡蒨
1336,商業溝通,302,上課念課文而已,5,輕鬆過,318,林慧洙
1599,微處理機系統,303,正課成績會要上機考，如果沒有修實習課，須自行找時間練習，三次上機考各佔20%，期末40%。,4,老師第一次上課就開始嚇唬人，但其實人還蠻好的，上機考也可以帶程式碼進去，實習課認真練習，其實不會太難過。,554,王益文
1594,系統程式,304,期中期末考，大概三次四小考，還有不定時的review，期末有個compiler專題。,5,雖然考試很多，但review只要訂正上傳就會改成60分，考試題目其實都跟考古題類似，只要練習個一兩年就能考不錯了。,567,林明言
